file	descr	bubbles
driving.jpg		.1;.1;au commencement il y a un voyage|.7;.6;sans objectif|.1;.8;et une idée de jeu
douane.jpg		.1;.7;s'oblige à passer des frontières|.6;.1;chaque minute|.2;.5;le  joueur
chaises.jpg		.3;.1;dans l'attente|.4;.6;l'imaginaire se perd|.6;.4;entre les portes
aeration.jpg		.5;.1;creuse des intervalles|.2;.8;et laisse disparaître un prénom
aile.jpg		.1;.5;je commence à|.3;.8;voir des fenêtres partout
coin.png		.1;.2et toi|.4;.1;tu appréciera|.6;.3;ce qui reste possible|.5;.5;indéfini|.6;.8;coincé entre les mots
bidons.jpg		.2;.1;le point de vue des aprioris|.7;.4;des jugements|.4;.6;mesures|.5;.8;en contorsions
avion.jpg		.6;.6;remise à zéro
apple.jpg		.1;.7;mais on reste connecté|.75;.8;aux services
casco.jpg		.45;.6;et à la culture générale touristique
cimetiere.jpg		.1;.1;c'est en se goinfrant d'images|.7;.4;qu'on perd pied|.1;.7;je n'y vois plus rien
colombia.jpg		.65;.1;une brève respiration|.05;.7;dans la nature|.1;.5;mais
couloir.jpg		.05;.1;redonne|.37;.8;l'équilibre nécessaire
eaucrade.jpg		.4;.3;mais attention|.1;.8;ne vidons pas l'eau du bain|.7;.8;avec le bébé
aqua.jpg		.4;.2;c'est un espace clos|.5;.4;qui reste ouvert vers l'extérieur
aquarium.jpg		.35;.5;d'échanges constructifs|.4;.3;et qui déborde
digging.jpg		.1;.1;chacun y apporte ce qu'il sait faire|.6;.6;ce qu'il est vraiment|.1;.8;au fin fond
hamac.jpg		.1;.1;en fonction du temps|.5;.3;dont il dispose|.2;.7;et de la température
iguane.jpg		.1;.1;et|.7;.1;petit à petit
fourmis.jpg		.05;.85;le projet prend forme|.7;.1;distribué en étoile|.4;.5;sans focale fixe
grille.jpg		.7;.1;tout est organisé
croix.jpg		.4;.2;pour respecter la procédure|.2;.7;des conventions sociales
commande.jpg		.1;.1;l'idée est simple
comptoir.png		.1;.1;on achète tous les jours|.45;.7;un coupon avec un numéro unique
fourmi.jpg		.5:.6;on le ramène chez soi|.5;.8;qu'on ne montre à personne
chicaroja.jpg		.6;.2;possède|.2;.5;le numéro|.5;.8;3 chiffres
industry.jpg		.3;.3;mais personne ne connaît|.1;.7;le nombre total de chiffres
industriebus.jpg		.6;.8;ou le numéro du voisin
malin.jpg		.3;.8;un arbitre supervise la distribution
tv.jpg		.25;.2;pour que les règles soient respectées|.4;.35;juridiquement
savane.jpg		.3;.4;cela peut paraître brouillon
ponton.jpg		.4;.4;de fait, ça l'est
ecluse.jpg		.3;.1;c'est probablement une question|.1;.7;de quantités
garcon.jpg		.6;.3;et d'observation concrètes|.6;.7;de ce qui nous entoure
vagues.jpg		.1;.1;malheureusement|.4;.2;il y a des choses|.3;.5;qui se meuvent|.6;.8;sans pouvoir être mesurées
virage.jpg		.2;.2;et|.6;.2;d'autres demeurent|.3;.8;avec une légère vibration
museedroit.jpg		.1;.1;pour clarifier tout ceci|.6;.6;une surface bien plane|.4;.3;il nous faut
museegauche.jpg		.1;.6;peu de traces sont visibles|.2;.4;où
tipiti1.jpg		.3;.8;pour rendre compte de la distance
tipiti2.jpg		.15;.8;je marche doucement|.6;.8;pied après pied
camion.jpg		.4;.8;si l'on va trop vite|.4;.1;car
cockpit.jpg		.2;.8;on perd des images
skylined.jpg		.4;.1;et la taille du livre obtenu|.6;.8;au tirage
skylineg.jpg		.2;.2;(étant proportionnelle|.5;.55;à la densité de population)
escuela.jpg		.4;.4;l'espace finit|.7;.8;par manquer
interdit.jpg		.4;.1;mais la solution|.3;.4;n'est pas d'aller|.2;.75;là où personne ne va
lebus.jpg		.1;.1;c'est un non-sens
limpiando.jpg		.1;.1;les points d'attraction|.6;.7;nous rattrapent
feuille.jpg		.1;.2;on les remarque à peine|.7;.5;au début
mamans.jpg		.5;.2;c'est inévitable
marche.jpg		.3;.8;quelle que soit la direction|.4;.4;ainsi
maree.jpg		.15;.8;à l'épreuve du temps|.6;.1;un mouvement|.4;.6;n'est plus
montagne.jpg		.35;.8;au bout du chemin|.45;.1;c'est
roc.jpg		.3;.55;les perspectives se confondent|.45;.1;que
night.jpg		.2;.3;la synchronisation sociale est obligatoire
nu.jpg		.32;.3;et la chronophagie étouffe
nuves.jpg		.2;.5;le silence|.5;.5;gros comme un mouton
parking.jpg		.5;.4;… le vertige qui revient
poteau.jpg		.5;.1;on mesure le temps parcouru|.3;.8;avec des chaînes de bois
working.jpg		.6;.1;et l'effort transpiré
peche.jpg		.1;.8;se noit dans un calme temporaire
plage.jpg		.4;.6;la peau s'en souvient
vacillo.jpg		.5;.2;le vide organisé
telimmeubles.jpg		.7;.7;mal de tête|.2;.3;infernal
reajust.jpg		.1;.1;qui dévore|.7;.1;les lendemains|.1;.8;de cette même journée
rodondas.jpg		.1;.4;le recul|.6;.2;en clignant des yeux|.5;.7;perd une dimension
slip.jpg		.7;.15;l'énergie|.1;.8;qui ramasse le présent
parquebolivarconcert.jpg		.3;.6;finit par marcher en ligne droite